Sample,r,alpha,beta,k,Antag_Lag,Collapse_Lag
115,0.00768065484087203,0.007429486444486784,0.0026006729481136536,0.020635537234713824,99.80000000000001,121.0
116,0.007967320866298182,0.007835723179761143,0.0032214403913388805,0.02388274766802915,81.80000000000001,102.0
117,0.010247865880881262,0.007218458803928333,0.0028071408776536746,0.025876507906044323,89.9,110.30000000000001
118,0.008253708764002521,0.008542250713741375,0.002560939027220835,0.026584452998686395,69.60000000000002,77.10000000000002
119,0.007766531762266555,0.008380072005820659,0.00302493099817767,0.026745823924873912,68.0,78.80000000000001
120,0.007849250724785576,0.007621172139902972,0.0034223722820571887,0.02346145393074934,84.30000000000001,109.20000000000002
121,0.009349376322965208,0.007940434550215387,0.0029590869582909957,0.024191630979787604,84.9,104.20000000000002
122,0.00922764864219237,0.008402605523604724,0.002590901742307312,0.021768932695249692,90.20000000000002,106.9
123,0.010216111007006706,0.008378093513754561,0.0029600910775071415,0.02413972685863274,83.30000000000001,102.0
124,0.008398929194049057,0.006798272609378463,0.002967328564445984,0.022274932073902107,102.0,132.3
125,0.009225871501997353,0.0065499029331712155,0.0034269553268995493,0.026698613103912423,90.10000000000002,120.60000000000002
126,0.009535036627853311,0.007581216824274271,0.002828574854657695,0.02549342718775157,85.10000000000002,102.80000000000001
127,0.009498774165895472,0.006740888113526005,0.0033698344660444577,0.02555453532803295,92.70000000000002,124.20000000000002
128,0.010214459765888194,0.008007868893873808,0.0031020736763422104,0.022728518823671426,91.80000000000001,117.70000000000002
129,0.010168366905055834,0.008323643751375918,0.0025906968030955705,0.019989305151735793,101.80000000000001,125.0
130,0.008666451090570734,0.008198744994259122,0.00343854851638345,0.020856414068813663,91.5,122.10000000000002
131,0.009254152931450764,0.007232004427419798,0.0034229229580331425,0.025691411272718605,85.70000000000002,112.30000000000001
132,0.009913487502720069,0.007429559609538682,0.0029233375521038984,0.021716115432795637,102.20000000000002,132.10000000000002
133,0.007802213840957502,0.00832062534657387,0.003281610908217069,0.02679302653627005,67.9,81.20000000000002
134,0.010340919460099542,0.007624721337605911,0.0032420886736624593,0.02640891245187817,82.80000000000001,105.30000000000001
135,0.009944047954829009,0.006931533228922195,0.002955489721779084,0.02070782431190895,113.5,153.20000000000002
136,0.010225937773598549,0.007738892927514479,0.0027557785249531165,0.024500187783996936,89.0,108.10000000000002
137,0.009318946249236317,0.007180866115573891,0.002652201832979666,0.02449929663719367,92.9,112.10000000000002
